fc_hz,fc,C,L,scheduler,power_control,steps,sum_rate_mean,sum_rate_p50,sum_rate_p95,fairness,nan_count
3500000000.0,3.5GHz,4,1,pf,1,300,28344238.94333333,28447331.0,35406757.0,0.9989485263556405,0
3500000000.0,3.5GHz,4,1,gain,0,300,28832292.313333333,28721294.0,36087938.00000001,0.9972092095420968,0
3500000000.0,3.5GHz,4,1,optimal,0,300,29268153.403333332,29702659.0,36492516.2,0.9972144929489302,0
3500000000.0,3.5GHz,4,2,pf,1,300,28893996.34,28537717.0,36806775.6,0.9977510670666757,0
3500000000.0,3.5GHz,4,2,gain,1,300,28794916.30666667,28579483.0,36513120.2,0.9978839718428812,0
3500000000.0,3.5GHz,4,2,optimal,1,300,28852348.376666665,28504377.0,37493825.8,0.9984514236259788,0
3500000000.0,3.5GHz,8,1,pf,1,300,31018678.346666668,30773631.0,38139355.4,0.9993211132321095,0
3500000000.0,3.5GHz,8,1,gain,0,300,31675428.813333333,31861250.0,38175333.6,0.9976287106904264,0
3500000000.0,3.5GHz,8,1,optimal,0,300,30903042.01333333,31060138.0,37560199.0,0.9982701099195728,0
3500000000.0,3.5GHz,8,2,pf,1,300,32164958.666666668,32049820.0,40604713.40000001,0.9972482781604662,0
3500000000.0,3.5GHz,8,2,gain,1,300,31826283.2,32167197.0,40517831.4,0.9982229347237696,0
3500000000.0,3.5GHz,8,2,optimal,1,300,31740077.19,31875119.0,40033885.4,0.9976153323153771,0
7000000000.0,7GHz,4,1,pf,1,300,18384884.871666666,18228707.0,25599101.2,0.9974361078486815,0
7000000000.0,7GHz,4,1,gain,0,300,18640672.293333333,18795262.0,25129077.0,0.9954170959804883,0
7000000000.0,7GHz,4,1,optimal,0,300,18603049.506666668,18835473.0,25197058.6,0.9967483259989102,0
7000000000.0,7GHz,4,2,pf,1,300,18567418.121666666,18640395.0,25609579.6,0.9972524964631588,0
7000000000.0,7GHz,4,2,gain,1,300,18656203.52,18727421.0,25845896.1,0.9972132710479656,0
7000000000.0,7GHz,4,2,optimal,1,300,18427007.086666666,18097855.0,25300204.400000002,0.9980812885180128,0
7000000000.0,7GHz,8,1,pf,1,300,20410740.876666665,20037204.0,26704595.3,0.9986915073542483,0
7000000000.0,7GHz,8,1,gain,0,300,21119839.593333334,21175237.0,27848273.6,0.9979068976514802,0
7000000000.0,7GHz,8,1,optimal,0,300,20592012.976666667,20458584.0,27091221.700000003,0.9973404223834484,0
7000000000.0,7GHz,8,2,pf,1,300,21140222.25,21042943.0,27483293.1,0.9967126029682885,0
7000000000.0,7GHz,8,2,gain,1,300,21175785.723333333,21171151.0,28271955.700000003,0.9978093218507154,0
7000000000.0,7GHz,8,2,optimal,1,300,21027759.34,20665501.0,27733942.8,0.996158984427636,0
28000000000.0,28GHz,4,1,pf,1,300,4400770.277291667,4144542.875,8652562.0,0.9889869329867788,0
28000000000.0,28GHz,4,1,gain,0,300,4556409.116666666,4095329.125,9190057.65,0.979173978349432,0
28000000000.0,28GHz,4,1,optimal,0,300,4727411.951666667,4423994.25,9031920.4,0.9878784284499996,0
28000000000.0,28GHz,4,2,pf,1,300,4678205.724375,4361965.5,8925420.050000003,0.985691292672506,0
28000000000.0,28GHz,4,2,gain,1,300,4627767.517708333,4463654.25,8430560.200000001,0.990194440036654,0
28000000000.0,28GHz,4,2,optimal,1,300,4457547.465,4163622.25,8077413.1,0.9804053410469211,0
28000000000.0,28GHz,8,1,pf,1,300,4896939.8175,4657010.0,8722286.55,0.9925142801467172,0
28000000000.0,28GHz,8,1,gain,0,300,5153252.282916667,4785779.0,9795290.800000003,0.9842218084926334,0
28000000000.0,28GHz,8,1,optimal,0,300,4866222.285625,4575691.25,9079709.5,0.985415077806062,0
28000000000.0,28GHz,8,2,pf,1,300,5024225.991458333,4804430.0,9233648.4,0.9907645757207787,0
28000000000.0,28GHz,8,2,gain,1,300,4954085.274375,4598497.25,8392607.225000001,0.9909212288979043,0
28000000000.0,28GHz,8,2,optimal,1,300,4896141.745625,4615989.0,8412580.4,0.9860282103826241,0
