C,L,scheduler,power_control,steps,sum_rate_mean,sum_rate_p50,sum_rate_p95,nan_count,fairness
2,1,random,0,200,9678160.62625,9447792.5,15198048.849999996,0,0.9909622219475434
2,1,random,1,200,9527357.2875,9085748.0,15025455.549999999,0,0.9877197182336404
2,1,gain,0,200,10068162.6575,9899676.5,15938609.599999998,0,0.991402228838595
2,1,gain,1,200,10353707.4175,9993382.5,16870267.0,0,0.9958866870283801
2,1,optimal,0,200,10394939.20625,10416812.0,16097407.999999998,0,0.9919924222323953
2,1,optimal,1,200,10157721.28,9925708.0,16205126.35,0,0.9907368278785323
2,1,pf,0,200,10342416.7403125,9724980.5,16846342.19999999,0,0.99598178804955
2,1,pf,1,200,10560251.51625,10160502.0,17340028.399999995,0,0.9900484135437415
2,2,random,0,200,9247579.4425,9214242.0,15243759.899999999,0,0.9897684470019272
2,2,random,1,200,9305958.18875,9166895.0,14884704.349999996,0,0.9929608353215432
2,2,gain,0,200,9937942.63125,9741330.0,15767170.95,0,0.9923888699105832
2,2,gain,1,200,10206313.329375,9987354.5,16947701.799999993,0,0.994720464910031
2,2,optimal,0,200,10171897.85875,9994175.0,15284320.549999999,0,0.9936282036191502
2,2,optimal,1,200,10144341.8525,9951110.0,16480757.2,0,0.9939783894728074
2,2,pf,0,200,9742410.1075,9506694.5,14607347.699999997,0,0.992757909606898
2,2,pf,1,200,10257585.045,10088726.5,16641593.74999999,0,0.9901536142949181
4,1,random,0,200,12517573.38125,12490764.5,17467012.0,0,0.9896458925921857
4,1,random,1,200,12346001.485,11840589.5,18779883.299999997,0,0.9924619084578911
4,1,gain,0,200,12675239.9175,12571359.0,19155995.7,0,0.9940926023692421
4,1,gain,1,200,12908540.04625,12862649.0,18021365.3,0,0.9864886214066843
4,1,optimal,0,200,12682311.25,12352572.5,18183402.299999997,0,0.9956018084196797
4,1,optimal,1,200,12793876.7375,12570815.0,19093003.799999993,0,0.9939398078811524
4,1,pf,0,200,12679983.76375,12447923.0,18634033.799999993,0,0.9933621392235271
4,1,pf,1,200,13141331.1975,12625552.0,19347129.89999999,0,0.9965903626432393
4,2,random,0,200,11849926.03,12027067.0,17214181.799999997,0,0.9953523694305041
4,2,random,1,200,11699450.55375,11449281.5,17693877.799999997,0,0.996244350411858
4,2,gain,0,200,12199590.49,12092134.5,18450370.7,0,0.9939742373116803
4,2,gain,1,200,12517641.4125,12396120.0,18217151.999999996,0,0.9901331083579487
4,2,optimal,0,200,11990894.96125,11645333.5,17435906.099999998,0,0.991011673672517
4,2,optimal,1,200,12242891.21,11781456.0,18177443.4,0,0.9957519412405114
4,2,pf,0,200,12568548.3525,12439108.5,18610597.999999993,0,0.9911024148312358
4,2,pf,1,200,12466389.87375,12404479.5,18351225.09999999,0,0.9952833264723135
6,1,random,0,200,13048239.2325,12938017.0,19498607.499999996,0,0.994285900329462
6,1,random,1,200,13393411.505,13235905.0,18842594.099999994,0,0.9897889911693529
6,1,gain,0,200,13790298.0675,13727995.0,19311008.199999996,0,0.9981030680407914
6,1,gain,1,200,14153459.1275,13765971.0,20320302.9,0,0.9962499837766832
6,1,optimal,0,200,13923095.19875,13626500.5,20440862.599999994,0,0.9959523858339839
6,1,optimal,1,200,14280895.6575,14192003.5,19637419.3,0,0.9978827380360139
6,1,pf,0,200,13620705.9375,13254833.0,19569457.399999987,0,0.9940300997555002
6,1,pf,1,200,13615510.615,13675931.5,19517819.9,0,0.993360043876378
6,2,random,0,200,12452346.38,12502904.0,17984378.599999998,0,0.9976019735049014
6,2,random,1,200,12919369.4325,12643388.0,18761655.5,0,0.9953915698240273
6,2,gain,0,200,13854852.2075,13538770.5,18952187.0,0,0.9935161118524047
6,2,gain,1,200,13324576.2925,13121725.0,18979984.699999988,0,0.99383339769581
6,2,optimal,0,200,13606233.4025,13719316.0,19353732.799999997,0,0.996581774454599
6,2,optimal,1,200,13557942.2975,13372485.0,19480404.499999993,0,0.9920340179016587
6,2,pf,0,200,13620019.9825,13461736.0,19324218.799999997,0,0.9939734909720926
6,2,pf,1,200,13724221.62,13506529.5,19755897.799999997,0,0.9939453208795067
8,1,random,0,200,13632622.7775,13213943.5,20589617.299999997,0,0.9959720768301494
8,1,random,1,200,14044424.53,13748090.0,20530619.999999996,0,0.9907101192162937
8,1,gain,0,200,13839663.565,13865849.0,19902950.099999998,0,0.9963610290098385
8,1,gain,1,200,14197184.9625,13963109.0,20558509.599999998,0,0.9962157368575679
8,1,optimal,0,200,14268280.6525,14148839.0,20659923.999999996,0,0.991787609815521
8,1,optimal,1,200,14647780.9225,14457777.0,20535964.799999997,0,0.9968131209801618
8,1,pf,0,200,14818663.805,14891725.5,20388144.099999998,0,0.9937067812224354
8,1,pf,1,200,14385102.8125,14438586.5,20194221.599999998,0,0.9961051775349903
8,2,random,0,200,13344702.435,13224630.0,18256948.099999998,0,0.9946503715908234
8,2,random,1,200,13560233.46375,13221201.5,19064413.699999996,0,0.9947141663654424
8,2,gain,0,200,13747342.52,13526712.0,20032859.59999999,0,0.9951145036106581
8,2,gain,1,200,14255603.7125,14331169.0,19742414.4,0,0.9940719266102236
8,2,optimal,0,200,14212214.9325,14208135.5,19159321.699999996,0,0.9969116365854156
8,2,optimal,1,200,14137729.35,13702872.5,19499043.7,0,0.995793797066783
8,2,pf,0,200,14396778.8225,14131030.5,19396767.7,0,0.9975063657313932
8,2,pf,1,200,14227590.52625,14135070.0,20529093.3,0,0.997290688481769
